Planet,Star,Star Count,Planet Count,Orbit Time (days),Planet Size (Earths),Planet Mass (Earths),Planet Density,Orbit Shape,habitability_score,Planet Temp (C),Information,description_english,description_spanish,description_french,description_german,description_hindi,description_japanese
TOI-815 c,TOI-815,2,2,34.976145,2.62,23.5,7.2,0.22,0.4537544660315994,195.85000000000002,"Planet: TOI-815 c, Star: TOI-815, Star Count: 2, Planet Count: 2, Orbit Time (days): 34.976145, Planet Size (Earths): 2.62, Planet Mass (Earths): 23.5, Planet Temp (C): 195.85000000000002, Planet Density: 7.2, Orbit Shape: 0.22","Hey there! Let's talk about TOI-815 c, a really cool planet that orbits a star with two other planets and stars in the system. This planet is huge, about 2.6 times bigger than Earth, and it takes 35 days to go around its star - that's like watching your favorite movie over and over again! It's also really hot on this planet, with temperatures reaching up to 196°C (that's even hotter than a blast furnace!).","¡Hola! Vamos a hablar de TOI-815 c, un planeta realmente cool que gira en torno a una estrella con otros dos planetas y estrellas en el sistema. Este planeta es enorme, algo más de 2.6 veces más grande que la Tierra, y le toma 35 días dar la vuelta a su estrella - ¡eso es como ver tu película favorita una y otra vez! Además, aquí se está muy caliente, con temperaturas que pueden alcanzar hasta los 196°C (incluso más calientes que un horno eléctrico).","Bonjour ! Parlons de TOI-815 c, une planète vraiment cool qui orbite autour d'une étoile avec deux autres planètes et étoiles dans le système. Cette planète est géante, environ 2,6 fois plus grosse que la Terre, et il faut 35 jours pour faire le tour de son étoile – c'est comme regarder votre film préféré sans arrêt ! De plus, il fait vraiment chaud sur cette planète, avec des températures allant jusqu'à 196 °C (c'est même encore plus chaud qu'un four à fusion !).","Hallo! Lassen wir es über TOI-815 c gehen, einen wirklich coolen Planeten, der um eine mit zwei anderen Planeten und Sternen besetzte Sonne kreist. Dieser Planet ist riesig, etwa 2,6 mal größer als die Erde, und braucht dafür 35 Tage - das wäre wie deine Lieblingssendung immer wieder sehen zu müssen! Außerdem ist es auf diesem Planeten sehr heiß, mit Temperaturen bis zu 196°C (das ist sogar heißer als ein Hochöfen!).","बात करेंगे TOI-815 c की, जो एक बहुत ही रोचक ग्रह है जो दो अन्य ग्रहों और तारों वाले एक तारा सिस्टम में घूमता है। यह ग्रह बहुत बड़ा है, लगभग 2.6 बार पृथ्वी की बड़ाई, और इसमें अपने तारे को परिभ्रमण करने में 35 दिन लगते हैं - जैसे कि आपका पसंदीदा फिल्म एक साथ कई बार देखी गई। यह ग्रह बहुत गरम है, जहां तापमान 196 डिग्री सेल्सियस तक पहुंच जाता है (जो यहां तक कि एक धूमधाम में भी अधिक गर्म होता है!).",注目すべき恒星系「TOI-815」の中でも特に気になる惑星、「TOI-815 c」。この巨大な惑星は、地球の約2.6倍大きくて、恒星を周回するには35日かかります。映画を同じ再生回数でずっと繰り返すような感覚です。この惑星では、熱気がこもって196°Cと高温になります。その熱さは、鉄工所でもあります。
K2-199 b,K2-199,1,2,3.2253993,1.73,6.9,7.2,0.02,0.4934975252264051,639.85,"Planet: K2-199 b, Star: K2-199, Star Count: 1, Planet Count: 2, Orbit Time (days): 3.2253993, Planet Size (Earths): 1.73, Planet Mass (Earths): 6.9, Planet Temp (C): 639.85, Planet Density: 7.2, Orbit Shape: 0.02","Hey kiddo! Let me tell you about K2-199 b, a really cool planet that's like Earth's bigger cousin. This super-sized world orbits its star every 3.2 days and is about 1.7 times bigger than our home planet, making it pretty massive - but don't worry, it's still not as hot as it sounds, with temperatures reaching up to around 640 degrees Celsius!","¡Hola chico! Te voy a contar sobre K2-199 b, un planeta supercool que es como el primo gordito de la Tierra. Este mundo gigante gira alrededor de su estrella en solo 3,2 días y es aproximadamente 1,7 veces más grande que nuestro hogar planetario, lo que lo hace bastante masivo - pero no te preocupes, todavía no es tan caliente como parece, con temperaturas que llegan hasta unos 640 grados Celsius.","Salut, jeune! Écoute-moi bien, car j'ai une histoire à te raconter sur K2-199 b, un monde vraiment cool qui ressemble beaucoup au nôtre, mais en plus gros. Ce géant d'orbite tourne autour de sa étoile toutes les 3,2 jours et est environ 1,7 fois plus massif que notre planète bleue chérie, ce qui fait qu'il est plutôt impressionnant - mais ne t'inquiète pas, ça ne brûle pas autant que cela sonne avec des températures atteignant jusqu'à 640 degrés Celsius !","Hallo, kleiner! Ich erzähle dir von K2-199 b, einem ziemlich coolen Planeten, der wie eine große Schwester von Erde ist. Dieser Superwelt umkreist seine Sonne in nur 3,2 Tagen und ist etwa 1,7 Mal größer als unser Zuhause, also wirklich massiv – aber keine Sorge, es wird nicht so heiß, wie es klingt, mit Temperaturen bis zu etwa 640 Grad Celsius!","यार! मुझे K2-199 बी के बारे में बताना है जो दुनिया की सबसे बड़ी चाची जैसा एक बहुत मजेदार ग्रह है। यह सुपरサイズ विश्व अपने तारे के परिक्रमा करता है हर 3.2 दिनों में और लगभग हमारे घरेलू ग्रह से 1.7 गुना बड़ा है, जिससे यह बहुत ही भारी-साइज है। लेकिन फिर भी, तापमान तकने को ज्यादा गर्म नहीं होता, लगभग 640 डिग्री सेल्सियस!",Hey kids、K2-199 bの話をしましょう。地球よりも大きい、すごい質量がある惑星です。この世界は、3.2日でその恒星を回っています。そして、そのサイズは、ちょうど1.7倍地球大です。これが本当に大量ですが心配はいりません。実際に温さは640度とても高くなります
GJ 486 b,GJ 486,1,1,1.46712127,1.289,2.77,6.66,0.00086,0.5306702451695332,422.85,"Planet: GJ 486 b, Star: GJ 486, Star Count: 1, Planet Count: 1, Orbit Time (days): 1.46712127, Planet Size (Earths): 1.289, Planet Mass (Earths): 2.77, Planet Temp (C): 422.85, Planet Density: 6.66, Orbit Shape: 0.00086","Hey there, young space explorer! Meet GJ 486 b, a super-cool planet that's about 1.3 times bigger and heavier than Earth. This scorching hot world orbits its star in just over a day, which means it's incredibly close to its fiery parent star, resulting in surface temperatures of around 423°C - making it way too hot for life as we know it!","Hola ahí, joven explorador espacial! Conoce a GJ 486 b, un planeta super-cool que es unos 1.3 veces más grande y pesado que la Tierra. Este mundo abrasador gira alrededor de su estrella en menos de un día, lo que significa que está increíblemente cerca de su estrella parental llena de fuego, resultando en temperaturas superficiales de unos 423°C - lo que hace que sea demasiado caliente para la vida tal como la conocemos!","Bonjour, jeune explorateur de l'espace ! Découvrez GJ 486 b, un super planète qui est environ 1,3 fois plus grand et plus lourd que la Terre. Ce monde brûlant orbite autour de sa étoile en moins d'une journée, ce qui signifie qu'il est incroyablement proche de son étoile mère, entraînant des températures à la surface de l'ordre de 423°C - ce qui fait que c'est bien trop chaud pour une vie telle que nous la connaissons !","Hallo, junger Weltraumabenteurer! Treffen Sie GJ 486 b, einen super-coolen Planeten, der etwa 1,3 Mal größer und schwerer als die Erde ist. Diese sengend heiße Welt umkreist ihre Sonne in knapp einem Tag, was bedeutet, dass sie ihr flammendes Muttergestirn extrem nahe kommt - mit Oberflächentemperaturen von etwa 423°C, was für das Leben, wie wir es kennen, viel zu heiß ist!","नमस्ते युवा अंतरिक्ष अन्वेषक! ज़ीजेएफ (GJ) 486 बी को मिलाएं, एक अत्यंत सुंदर ग्रह जिसका आकार और तीव्रता पृथ्वी से लगभग 1.3 गुना है। यह गर्मजोशी भरा विश्व अपने तारे की परिक्रमा करे इससे अधिक समय नहीं, मतलब इसकी दूरी अपने चिंगारीदार मूल तारे से बहुत कम, जिसके परिणामस्वरूप पृष्ठभूमि तापमान लगभग 423 डिग्री सेल्सियस तक पहुंचता है - जिससे यह जीवन के रूप में हम समझे जो नहीं!",若い星間旅行者よ！これからGJ 486 bを紹介する。太陽の大きさの130%、重さも同じで、熱い熱球だ。これは太陽に極近く回転しているため、表面温度は約423°Cになり、地球上での生命には向かない熱すぎる世界だ！
HATS-70 b,HATS-70,1,1,1.8882378,15.513,4100.007,6.64,0.18,0.4822276866157002,2456.85,"Planet: HATS-70 b, Star: HATS-70, Star Count: 1, Planet Count: 1, Orbit Time (days): 1.8882378, Planet Size (Earths): 15.513, Planet Mass (Earths): 4100.007, Planet Temp (C): 2456.85, Planet Density: 6.64, Orbit Shape: 0.18","Here's an explanation of the planet HATS-70 b that a kid between 12 to 16 years old can understand:

Imagine a huge ball of gas that's about 15 times bigger than our Earth! This massive world, called HATS-70 b, orbits really close to its star, which means it gets scorching hot with temperatures reaching over 2400°C. It's so dense and heavy that if you were to stand on its surface, you'd feel like you're in a super-strong gravity spot - kind of like being in a giant washing machine!","Imagina un gigante globo de gas que es aproximadamente 15 veces más grande que la Tierra. Este mundo masivo, llamado HATS-70 b, órbita muy cerca de su estrella, lo que significa que recibe temperaturas extremadamente altas que alcanzan los más de 2400°C. Es tan denso y pesado que si estuvieras en su superficie sentirías como si estuvieras en un punto con una fuerza gravitatoria superfuerte - algo así como estar en una gigantesca lavadora!","Imaginez une énorme balle de gaz qui fait environ 15 fois la taille de notre Terre ! Ce vaste monde, appelé HATS-70 b, orbite très près de sa star, ce qui signifie qu'il est scorchant chaud avec des températures atteignant plus de 2400 °C. C'est tellement dense et lourd que si vous étiez debout sur sa surface, vous sentiriez comme si vous étiez dans un endroit où la gravité est énorme - genre comme d'être dans un grand lave-linge !","Hier ist eine Erklärung des Planeten HATS-70 b, die ein Kind zwischen 12 und 16 Jahren verstehen kann:

Stell dir vor einen riesigen Gasball, der etwa 15 mal so groß ist wie unsere Erde! Diese massive Welt, genannt HATS-70 b, umkreist ihre Sonne sehr nahe, das heißt, sie bekommt eine extrem heiße Hitze mit Temperaturen von über 2400°C. Sie ist so dicht und schwer, dass du dich auf ihrer Oberfläche wie in einem superstarken Schwerkraftpunkt fühlst - ein bisschen so, als ob du in einer riesigen Waschmaschine stehst!","कृपया ध्यान दें: यह शिशुओं या छोटे बच्चों के लिए उपयुक्त नहीं है।

HATS-70 बी ग्रह के विवरण को समझने के लिए यहाँ एक विस्तृत व्याख्या: 

आपको कल्पना करनी चाहिए एक बहुत बड़ा गैसीय गोला, जिसका आकार लगभग 15 बार पृथ्वी से बड़ा है। इस भारी दुनिया, जिसे HATS-70 बी कहा गया, अपने तारे के करीब घूमता है, जिससे यह बहुत गर्म हो जाता है और इसके तापमान 2400 डिग्री सेल्सियस से अधिक हो जाते हैं। इस ग्रह का आकार इतना घना और भारी है कि यदि आप उसकी सतह पर खड़े हों, तो आपको ऐसा लगता है जैसे आप एक अत्यधिक मजबूत चुंबकीय क्षेत्र में हैं - लगभग यही तरह जैसे आप एक बड़े से बड़े वाशिंग मशीन में हों!","ハツ-70 bについてもっと知りたかったら、つまりはこちらです！

巨大なガスの球、一番大きいのは地球の15倍でした！このすばらしい世界ハツ-70 bが回っているのはその星とても近くて、そのため温度はまるで2400度！それはそれほど重いし、密度があるから、もし立つ場所がこれにあなたがいると言うなら、あなたはかなり強力な重力を感じることになります。例えば洗濯機の大きいおかしいようにも感じるでしょう！"
WASP-18 b,WASP-18,2,2,0.94145223,13.899,3241.84975,6.6,0.0051,0.4976193431637401,2155.85,"Planet: WASP-18 b, Star: WASP-18, Star Count: 2, Planet Count: 2, Orbit Time (days): 0.94145223, Planet Size (Earths): 13.899, Planet Mass (Earths): 3241.84975, Planet Temp (C): 2155.85, Planet Density: 6.6, Orbit Shape: 0.0051","Hey there! Let's talk about WASP-18 b, a really cool planet that orbits around the star WASP-18. This massive world is about 14 times bigger than Earth and has a super-strong pull, being 3,242 times heavier than our home planet - it's like a cosmic giant! And get this, it's so hot on WASP-18 b that the surface temperature reaches a scorching 2,156°C, making it one of the hottest planets out there.","¡Hola! Vamos a hablar sobre WASP-18 b, un planeta realmente interesante que orbita alrededor de la estrella WASP-18. Este mundo masivo mide aproximadamente catorce veces más que la Tierra y tiene una fuerza gravitatoria extremadamente fuerte, siendo 3,242 veces más pesado que nuestro hogar planetario - ¡es como un gigante cósmico! Y lo mejor de todo es que por allí hace calor aeltero, con temperaturas superficiales que alcanzan los 2.156°C, convirtiéndolo en uno de los planetas más calientes que hay ahí fuera.","Hey, parlons de WASP-18 b, une planète vraiment cool qui orbite autour de l'étoile WASP-18 ! Ce monde énorme fait approximativement 14 fois la taille de la Terre et a un attrait formidable, pesant 3 242 fois plus que notre planète mère - c'est comme un géant cosmique ! Et imaginez que le thermomètre atteint une température de 2 156°C à la surface de WASP-18 b, ce qui en fait l'une des planètes les plus chaudes dans tout l'univers.","Hey! Lassen wir über WASP-18 b sprechen, einen wirklich coolen Planeten, der um die Sonne WASP-18 kreist. Diese riesige Welt ist etwa 14 mal größer als Erde und hat eine unglaubliche Schwerkraft, 3.242 mal schwerer als unsere Heimatwelt – sie ist wie ein kosmischer Riese! Und wissen Sie was? Es ist auf WASP-18 b so heiß, dass die Oberflächentemperatur bei einem scorchenden 2.156°C liegt, also einer der heißesten Planeten überhaupt.","क्या हो रहा है! लेट्स बात करें WASP-18 ब के बारे में, जो एक बहुत ही शानदार ग्रह है जो तारे WASP-18 के चारों ओर परिक्रमा करता है। यह बड़ा संसार लगभग पृथ्वी से 14 गुना बड़ा होता है और इसका गुरुत्वाकर्षण बहुत मजबूत है, जिससे वह हमारी घरेलू धरती के करीब 3,242 गुना भारी होता है - यह एक यूनिवर्सल गिगानट जैसा लगता है! और देखें कि इसकी सतह पर तापमान कितना गर्म हो जाता है, लगभग 2,156°C, जिससे वह सबसे hottest प्लैनेट्स में से एक बन जाता है।",宇宙の話をしましょう。WASP-18 bという星に回っている惑星についてお話します。地球よりとても大きいこの惑星は、14倍も大きくて、重さでは3万2420倍も地球よりも強いです。このような超大型の天体を人々は「巨人が空中に浮いている」と呼んでいます。また、このWASP-18 bは非常に熱いと言われており、表面温度が2万156℃にもなるため、その中では世界でも最も熱い惑星の一つであることが証明されています。
EPIC 249893012 b,EPIC 249893012,1,3,3.5951,1.95,8.75,6.39,0.06,0.4909574825958187,1342.85,"Planet: EPIC 249893012 b, Star: EPIC 249893012, Star Count: 1, Planet Count: 3, Orbit Time (days): 3.5951, Planet Size (Earths): 1.95, Planet Mass (Earths): 8.75, Planet Temp (C): 1342.85, Planet Density: 6.39, Orbit Shape: 0.06","Here's an explanation that's out of this world:

Imagine a planet called EPIC 249893012 b - it's about two Earths in size and has a mass similar to eight Earths! This scorching hot world orbits its star every 3.6 days, making it extremely hot with temperatures reaching over 1300°C (that's like, super hot!). Its density is also pretty dense, meaning it's got a lot of stuff packed into it!","Aquí va una explicación que es fuera de este mundo:

Imagina un planeta llamado EPIC 249893012 b - mide aproximadamente dos veces el tamaño de la Tierra y tiene una masa similar a la de ocho Terrestres. Este mundo infernal órbita su estrella cada 3,6 días, lo que hace que sea extremadamente caliente con temperaturas que alcanzan más de 1300°C (¡qué calor!). Su densidad también es bastante densa, lo que significa que tiene muchísima materia concentrada en él.","Voici une explication qui fait éclater la tête !

Imaginez un planète appelé EPIC 249893012 b - c'est environ deux fois l'effet de la Terre et possède une masse similaire à huit fois celle de la Terre ! Ce monde brûlant se trouve dans l'espace où il orbite autour de sa étoile en 3,6 jours, ce qui le rend extrêmement chaud avec des températures atteignant plus de 1300°C (c'est vraiment très chaud!). Sa densité est aussi plutôt dense, ce qui signifie qu'il y a beaucoup d'étant dans cette planète !","Hier ist eine Erklärung, die aus diesem Weltall kommt:

Bilden Sie sich vor einem Planeten denken, der EPIC 249893012 b heißt – er ist etwa so groß wie zwei Erden und hat ein ähnliches Masseverhältnis zu acht Erden! Dieses sengend heiße Gebilde dreht sich in nur drei Tagen um seine Sonne, wodurch es extrem heiß ist mit Temperaturen von über 1300°C (das ist ziemlich heiß!). Seine Dichte ist auch recht dicht, was bedeutet, dass viel Materie in ihm steckt!","ये ज्ञान यह दुनिया से बाहर है:

कल्पना कीजिए एक ग्रह जिसका नाम एपिक 249893012 बी है - इसका आकार दो पृथ्वी के बराबर है, और इसका massa आठ पृथ्वी के समान है। यह तीव्र गर्म विश्व अपने तारे की परिक्रमा हर 3.6 दिनों में, जिससे वह अत्यधिक गर्म होता है और उसके तापमान 1300 डिग्री सेल्सियस तक पहुँचते हैं (यानी, बहुत गर्म!). इसका घनत्व भी काफी गाढ़ा है, अर्थात यह में बहुत ज्यादा चीजें भरी हुई हैं।","宇宙の奥深くにある秘密：

EPIC249893012bという惑星を想像してみましょう。この惑星は約2倍の地球サイズで、質量も8倍に相当します。 この熱球は太陽に3.6日ごとに回り、温度が1300°C以上となり、すさまじい熱を持っています。その密度もかなり高く、これはこの惑星の中に多くの物質が詰め込まれていることを意味します。"
TOI-2379 b,TOI-2379,1,1,5.4693827,11.725,1830.69162,6.21,0.342,0.4884626488272352,350.85,"Planet: TOI-2379 b, Star: TOI-2379, Star Count: 1, Planet Count: 1, Orbit Time (days): 5.4693827, Planet Size (Earths): 11.725, Planet Mass (Earths): 1830.69162, Planet Temp (C): 350.85, Planet Density: 6.21, Orbit Shape: 0.342","Check out TOI-2379 b! This planet is huge - about 12 times bigger than Earth - and really heavy, which means it must have a super strong pull of gravity. With surface temperatures reaching as high as 350°C (that's hotter than molten lava!), this scorching hot world is not a place you'd want to visit anytime soon!","¡Echa un vistazo a TOI-2379 b! Este planeta es enorme - unos 12 veces más grande que la Tierra - y pesadísimo, lo que significa que debe tener una atracción gravitatoria superfuerte. Con temperaturas en su superficie que alcanzan hasta los 350°C (¡más calientes que el lodo fundido!), este mundo abrasador no es un lugar al que te gustaría visitar de manera inminente!","Consultez TOI-2379 b ! Cet astre est gigantesque - il fait environ 12 fois la taille de la Terre - et vraiment lourd, ce qui signifie qu'il doit avoir un attrait gravitationnel incroyablement fort. Avec des températures de surface montant jusqu'à 350 °C (c'est plus chaud que le basalte fondu !), ce monde en feu n'est pas un endroit où vous voudriez visiter bientôt !","Entdecken Sie TOI-2379 b! Dieser Planet ist riesig - etwa zwölfmal so groß wie die Erde – und sehr schwer, was bedeutet, dass er eine überaus starke Schwerkraft haben muss. Bei Oberflächentemperaturen von bis zu 350°C (das heißt, heißer als geschmolzenes Lava!) ist dieser sengende heiße Mond kein Ort, den Sie bald besuchen möchten!","देखिये टॉय-2379 बी! यह ग्रह बहुत बड़ा है - लगभग पृथ्वी से 12 गुना ज्यादा - और बहुत भारी है, जिसका अर्थ है कि इसमें अत्यधिक मजबूत चुंबकीय प्रभाव होगा। इसके सतह तापमान करीब 350 डिग्री सेल्सियस (जो मवादल की तरह गर्म हैं!) तक पहुँच जाता है, जिससे जल्दी ही आपको कभी भी यहाँ नहीं आना चाहिए!",TOI-2379 b をチェックしてください！この惑星は大変大きいです。地球に 12 倍以上の大きさで、重量も凄まじく、大きくした場合にもぐみますね。その表面温度が最高でも 350°C になるので、その熱い世界を訪れたくなることはありません！
HD 260655 b,HD 260655,1,2,2.76953,1.24,2.14,6.2,0.039,0.4857255126149723,435.85,"Planet: HD 260655 b, Star: HD 260655, Star Count: 1, Planet Count: 2, Orbit Time (days): 2.76953, Planet Size (Earths): 1.24, Planet Mass (Earths): 2.14, Planet Temp (C): 435.85, Planet Density: 6.2, Orbit Shape: 0.039","Here's a fun explanation of the planet HD 260655 b:

Imagine a super-hot world called HD 260655 b that orbits its star in just over 2.7 days - that's like our Earth's year, but way faster! This scorching hot planet is about 1/4 bigger than our own Earth and has a mass of almost two Earths, which means it must be really dense and heavy!","Aquí va una explicación divertida del planeta HD 260655 b:

Imagina un mundo extremadamente caliente llamado HD 260655 b que órbita su estrella en solo unos 2.7 días – ¡eso es como nuestro año terrestre, pero mucho más rápido! Este planeta abrasadoramente cálido es unos 1/4 mayor que nuestra propia Tierra y tiene una masa de casi dos tierras, lo que significa que debe ser realmente denso y pesado.","Voici une super-beauté nommée HD 260655 b qui orbite autour de sa étoile en un peu plus de 2,7 jours - c'est comme notre année terrestre, mais à des vitesses bien plus rapides ! Ce monde brûlant est environ 1/4 plus grand que notre planète natale et a une masse d'environ deux Terres, ce qui signifie qu'il doit être vraiment dense et lourd !","Hier ist eine unterhaltsame Erklärung für den Planeten HD 260655 b:

Stellen Sie sich eine superheiße Welt vor, die HD 260655 b genannt wird und ihre Sonne in gerade mal über 2,7 Tagen umrundet – das sind fast zwei Jahre von unserer Erde, aber viel schneller! Diese flammende heiße Welt ist etwa 1/4 größer als unsere Erde und hat eine Masse von beinahe zwei Erdmassen, also muss sie wirklich dicht und schwer sein!","यह एक मजेदार व्याख्या है जो ग्रह HD 260655 बी के बारे में:

एक अत्यधिक गर्म दुनिया, जिसे हम HD 260655 बी कह सकते हैं, इसका सितारे पर घूमना लगभग 2.7 दिनों में होता है - यह हमारे पृथ्वी का वर्ष, लेकिन बहुत तेजी से! यह आंचलित गर्म ग्रह लगभग पृथ्वी की 1/4 बड़ा और लगभग दो पृथ्वियों जितना भारी होगा, जिसका अर्थ है कि इसका घनत्व बहुत अधिक होता होगा!","HD 260655 bという惑星について、funな説明はこちら。

この超熱世界 HD 260655 b は、その恒星を運ぶのにわずか 2.7 日で、自分の地球の年よりもかなり速い！この凄い熱い惑星は、自分の地球よりもちょうど4分の1大きく、そして重さが2つの地球とほぼ同じであるため、すごく密度が高くて重いために違いない！"
HD 23472 b,HD 23472,1,5,17.667087,2.0,8.32,6.15,0.072,0.4981406945332497,269.85,"Planet: HD 23472 b, Star: HD 23472, Star Count: 1, Planet Count: 5, Orbit Time (days): 17.667087, Planet Size (Earths): 2.0, Planet Mass (Earths): 8.32, Planet Temp (C): 269.85, Planet Density: 6.15, Orbit Shape: 0.072","Hey there, young space explorer! You're in for a treat - let me introduce you to HD 23472 b, a fascinating planet that orbits a star called HD 23472. This cool world is about twice the size of Earth and has a mass of over eight times our own, with surface temperatures reaching a scorching 269 degrees Celsius!","¡Hola ahí, joven explorador del espacio! ¡Estás a punto de recibir un gran golpe - te presento a HD 23472 b, un planeta fascinante que órbita una estrella llamada HD 23472. Este mundo frío es más de dos veces grande que la Tierra y tiene una masa de más de ocho veces nuestra propia, con temperaturas superficiales que llegan a un asfixiante 269 grados Celsius!","Bonjour, jeune explorateur de l'espace ! Vous êtes en préparation pour un traitement - permettez-moi de vous présenter HD 23472 b, une planète passionnante qui orbite autour d'une étoile appelée HD 23472. Ce monde froid mesure environ deux fois la taille de la Terre et a une masse supérieure à huit fois celle de notre planète, avec des températures de surface atteignant un feu de 269 degrés Celsius !","Hallo daheim, junger Weltraum-Entdecker! Du bist auf eine Überraschung gefasst: Hier ist HD 23472 b, ein faszinierender Planet, der um die Sonne HD 23472 kreist. Dieser Kaltweltler ist etwa doppelt so groß wie unsere Erde und hat einen Massen von über achtmal unseren Massen, mit Oberflächentemperaturen, die auf eine sengende 269 Grad Celsius kletten!","नमस्ते युवा अंतरिक्ष पर्यावर्तक! आपको एक तोहफ़ा मिलेगा - मैं आपको HD 23472 बी से पाठकित कराने जा रहा हूँ, जो कि HD 23472 स्टार का परिक्रमा करने वाला एक रोमचक ग्रह है। यह ठंड़ा दुनिया लगभग पृथ्वी के दोगुने आकार की है और इसका massa आठ गुना ज़्यादा है, जिसकी सطح तापमान 269 डिग्री सेल्सियस तक पहुँच सकता है!",ハロー、若い宇宙探検家！あなたには楽しい内容が用意してある。地球よりも2倍大きく、その質量は約8倍のHD 23472という星に周囲する惑星HD 23472 bを紹介しよう。これだけの巨大な世界が気温で269度の炎熱な熱さを持っているという驚異的な事実を知ることができるぞ！
GJ 1132 b,GJ 1132,1,2,1.62892911,1.192,1.83705,5.97,0.0118,0.5244612936577617,310.85,"Planet: GJ 1132 b, Star: GJ 1132, Star Count: 1, Planet Count: 2, Orbit Time (days): 1.62892911, Planet Size (Earths): 1.192, Planet Mass (Earths): 1.83705, Planet Temp (C): 310.85, Planet Density: 5.97, Orbit Shape: 0.0118","Check out GJ 1132 b! This super cool planet orbits a small star called GJ 1132, and it's actually really close to its star - just about 1.6 Earth days to complete one orbit! It's also a pretty big deal, being almost 50% bigger than our home planet, with surface temperatures that might make it feel like a scorching hot oven on your birthday BBQ.","¡Mira el planeta GJ 1132 b! Este planeta supercool órbita una estrella pequeña llamada GJ 1132 y está realmente cerca de su estrella - apenas unos 1,6 días terrestres para completar un solo giro. ¡Es también un gran truco, siendo casi el doble que nuestro hogar planetario! Las temperaturas superficiales podrían hacer que sientas como si tuvieran una nevera en la cocina de tu cumpleaños.","Regardez bien GJ 1132 b ! Ce superbe planète orbite autour d'une petite étoile appelée GJ 1132 et c'est tout proche de son soleil - juste environ 1,6 jours terrestres pour accomplir un seul tour ! C'est aussi un très grand enjeu car elle est pratiquement 50 % plus grosse que notre planète natale, avec des températures à la surface qui pourraient faire ressentir une chaleur écrasante comme dans votre barbecue anniversaire.","Besuchen Sie GJ 1132 b! Dieser super coole Planet umkreist einen kleinen Stern namens GJ 1132 und ist tatsächlich nur etwa 1,6 Erdtage brauchbar, um eine Umlaufbahn zu absolvieren! Es ist auch ein ziemlicher Hingucker, da er knapp 50 % größer ist als unsere Heimatwelt, mit Oberflächentemperaturen, die so heiß sein könnten wie ein backender Ofen bei Ihrem Geburtstag-BBQ.","जीएजे 1132 बी को देखें! यह बहुत ही शानदार ग्रह एक छोटा तारा जीएजे 1132 के इर्द-गिर्द घूमता है और वास्तव में यह अपने तारे से बहुत करीब है, बस लगभग 1.6 पृथ्वी दिनों में एक परिक्रमा पूरी करने के लिए! इसके अलावा, यह लगभग हमारे घरेलू ग्रह के 50% बड़ा है, जिसकी सतह तापमान ऐसा लग सकता है जैसे अगर आपका बर्थडे बीबीक्यू पर बहुत गर्म हो।",ジーエイチ1132bをチェックしてください！このすばらしい惑星は、赤い小さな恒星ジーエイチ1132を公転し、1個の軌道を回るときに地球の１．６日しかかからないほど恒星に近いことが実にすばらしかった。もちろん、これはあなたにとって大きなニュースですよ。この惑星の大きさはほぼ50％の大型惑星であり、その表面温度は生まれた日のバーベキューの調理用オーブンと同じくらいの高熱が考えられる。
LTT 3780 b,LTT 3780,2,2,0.76837931,1.325,2.46,5.8,0.0,0.5206564564777438,629.85,"Planet: LTT 3780 b, Star: LTT 3780, Star Count: 2, Planet Count: 2, Orbit Time (days): 0.76837931, Planet Size (Earths): 1.325, Planet Mass (Earths): 2.46, Planet Temp (C): 629.85, Planet Density: 5.8, Orbit Shape: 0.0","Hey kiddo! LTT 3780 b is a pretty cool planet that's about 1.3 times bigger than Earth. It orbits its star in just over 2 days and has a surface temperature of almost 630°C - it's way too hot for us to visit, but scientists think it might be a great place to find water!","¡Hola!, LTT 3780 b es un planeta bastante fresco que mide unos 1.3 veces más que la Tierra en tamaño. Gira alrededor de su estrella en solo unos 2 días y tiene una temperatura superficial de casi 630°C - ¡es demasiado caluroso para nosotros visitarlo, pero los científicos creen que podría ser un lugar excelente donde encontrar agua!","Salut ! LTT 3780 b est une planète plutôt cool qui mesure environ 1,3 fois le diamètre de la Terre. Elle orbite autour de sa étoile en juste plus de 2 jours et possède une température de surface d'à peine 630°C - c'est beaucoup trop chaud pour que nous puissions y aller, mais les scientifiques pensent qu'il pourrait s'agir d'un excellent endroit pour trouver de l'eau !","Hey Kind! LTT 3780 b ist ein ziemlich kühler Planet, der etwa 1,3-mal so groß wie die Erde ist. Er umkreist seine Sonne in weniger als zwei Tagen und hat eine Oberflächentemperatur von fast 630°C - es ist viel zu heiß für uns zu besuchen, aber Wissenschaftler glauben, dass es ein großartiger Ort sein könnte, um Wasser zu finden!","Hey kiddo! LTT 3780 b एक बहुत ही शानदार ग्रह है जो पृथ्वी से लगभग 1.3 गुना बड़ा है। यह अपने तारे की परिक्रमा करीब-करीब 2 दिनों में पूरी करता है और इसका सतह तापमान लगभग 630 °C पहुंचता है - हमें वहां जाना संभव नहीं है, लेकिन वैज्ञानिकों का अनुमान है कि यह जल को खोजने का एक शानदार स्थान होगा!",コチッコ！LTT 3780 bは地球より約1.3倍大きい非常に興味のある惑星です。starに対してほぼ2日で公転し、表面温度が約630°Cとすごく高温で、このような場所を訪れることは不可能ですが、科学者たちは水の出現場所である可能性があるでしょう。
